flow_id,split,label,protocol,packet_count,byte_total,duration_sec,avg_pkt_len,std_pkt_len,pkts_per_sec,bytes_per_sec,syn_only_ratio,ack_ratio,dst_port,udp_small_packet_ratio,icmp_type,icmp_code
124.239.14.14_211.65.193.19_0_0_icmp,train,ICMP-Echo-Probe_Flood-Candidate,icmp,16,1632,334.730642,102.0,0.0,0.04779962749869789,4.875562004867185,0.0,0.0,0,0.0,0,0
124.239.14.14_211.65.196.137_0_0_icmp,train,ICMP-Echo-Probe_Flood-Candidate,icmp,16,1632,334.730834,102.0,0.0,0.04779960008106095,4.875559208268217,0.0,0.0,0,0.0,8,0
124.239.14.14_211.65.206.62_0_0_icmp,train,ICMP-Echo-Probe_Flood-Candidate,icmp,32,3264,334.730972,102.0,0.0,0.09559916074930766,9.751114396429381,0.0,0.0,0,0.0,8,0
211.65.206.62_221.211.235.208_0_0_icmp,train,ICMP-Echo-Probe_Flood-Candidate,icmp,30,3060,300.49421,102.0,0.0,0.09983553426869689,10.183224495407083,0.0,0.0,0,0.0,0,0
211.65.196.137_221.178.37.121_0_0_icmp,train,ICMP-Echo-Probe_Flood-Candidate,icmp,60,6120,300.698546,102.0,0.0,0.19953538451762248,20.352609220797493,0.0,0.0,0,0.0,8,0
211.65.206.62_221.178.37.121_0_0_icmp,train,ICMP-Echo-Probe_Flood-Candidate,icmp,30,3060,300.698004,102.0,0.0,0.09976787208737174,10.176322952911917,0.0,0.0,0,0.0,8,0
211.65.193.11_39.156.187.8_0_0_icmp,train,ICMP-Echo-Probe_Flood-Candidate,icmp,30,3060,275.500525,102.0,0.0,0.1088927144512701,11.107056874029551,0.0,0.0,0,0.0,8,0
211.65.196.149_39.156.187.8_0_0_icmp,train,ICMP-Echo-Probe_Flood-Candidate,icmp,30,3060,275.500044,102.0,0.0,0.1088929045688283,11.107076266020487,0.0,0.0,0,0.0,8,0
211.65.252.67_81.16.152.2_0_0_icmp,train,ICMP-Echo-Probe_Flood-Candidate,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0
120.71.60.196_211.65.243.80_0_0_icmp,train,ICMP-Echo-Probe_Flood-Candidate,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0
211.65.222.180_23.133.64.100_0_0_icmp,train,ICMP-Echo-Probe_Flood-Candidate,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0
211.65.222.211_23.133.64.100_0_0_icmp,train,ICMP-Echo-Probe_Flood-Candidate,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0
211.65.224.220_212.73.148.3_3208_39773_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,39773,0.0,0,0
211.65.225.248_79.124.49.154_21823_44046_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,44046,0.0,0,0
211.65.243.209_81.19.216.125_6040_53820_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,53820,0.0,0,0
211.65.249.194_212.73.148.18_8421_54219_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,54219,0.0,0,0
147.182.137.181_211.65.202.64_46088_63728_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,63728,0.0,0,0
185.156.73.86_211.65.243.48_49073_9636_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,9636,0.0,0,0
