flow_id,split,label,protocol,packet_count,byte_total,duration_sec,avg_pkt_len,std_pkt_len,pkts_per_sec,bytes_per_sec,syn_only_ratio,ack_ratio,dst_port,udp_small_packet_ratio,icmp_type,icmp_code,anomaly,is_attack
124.239.14.14_211.65.193.19_0_0_icmp,train,attack,icmp,16,1632,334.730642,102.0,0.0,0.0477996274986978,4.875562004867185,0.0,0.0,0,0.0,0,0,-1,True
124.239.14.14_211.65.196.137_0_0_icmp,train,attack,icmp,16,1632,334.730834,102.0,0.0,0.0477996000810609,4.875559208268217,0.0,0.0,0,0.0,8,0,-1,True
124.239.14.14_211.65.206.62_0_0_icmp,train,attack,icmp,32,3264,334.730972,102.0,0.0,0.0955991607493076,9.75111439642938,0.0,0.0,0,0.0,8,0,-1,True
124.239.14.14_211.65.196.189_0_0_icmp,train,attack,icmp,16,1632,334.730832,102.0,0.0,0.0477996003666611,4.87555923739944,0.0,0.0,0,0.0,8,0,-1,True
112.13.108.4_211.65.196.149_0_0_icmp,train,attack,icmp,35,3570,362.38836,102.0,0.0,0.0965814685659329,9.851309793725164,0.0,0.0,0,0.0,0,0,-1,True
112.13.108.4_211.65.196.189_0_0_icmp,train,attack,icmp,70,7140,362.383862,102.0,0.0,0.1931653347190168,19.702864141339717,0.0,0.0,0,0.0,8,0,-1,True
112.13.108.4_211.65.196.137_0_0_icmp,train,attack,icmp,70,7140,362.385336,102.0,0.0,0.1931645490202727,19.70278400006782,0.0,0.0,0,0.0,8,0,-1,True
112.13.108.4_211.65.206.62_0_0_icmp,train,attack,icmp,35,3570,362.382364,102.0,0.0,0.0965830666086167,9.851472794078909,0.0,0.0,0,0.0,8,0,-1,True
112.13.108.4_211.65.193.11_0_0_icmp,train,attack,icmp,35,3570,362.382412,102.0,0.0,0.0965830538155367,9.851471489184746,0.0,0.0,0,0.0,0,0,-1,True
113.142.71.131_211.65.206.62_0_0_icmp,train,attack,icmp,33,3366,359.448123,102.0,0.0,0.0918074066560086,9.364355478912875,0.0,0.0,0,0.0,0,0,-1,True
211.65.196.137_36.104.142.107_0_0_icmp,train,attack,icmp,35,3570,360.101114,102.0,0.0,0.0971949228682475,9.913882132561245,0.0,0.0,0,0.0,0,0,-1,True
211.65.196.149_36.104.142.107_0_0_icmp,train,attack,icmp,70,7140,360.100614,102.0,0.0,0.1943901156469563,19.82779179598955,0.0,0.0,0,0.0,8,0,-1,True
211.65.196.189_36.104.142.107_0_0_icmp,train,attack,icmp,35,3570,360.101438,102.0,0.0,0.0971948354174581,9.913873212580729,0.0,0.0,0,0.0,0,0,-1,True
